dairy_name,dairy_address,avg_milk_cows,avg_dry_cows,avg_bred_heifers,avg_heifers,avg_calves_4_6_mo,avg_calves_0_3_mo,avg_other,avg_steer,total_manure_excreted_tons,avg_milk_lb_per_cow_day,total_manure_gen_n_after_nh3_losses_lbs,total_manure_gen_n_lbs,total_manure_gen_p_lbs,total_manure_gen_k_lbs,total_manure_gen_salt_lbs,total_ww_gen_gals,total_ww_gen_n_lbs,total_ww_gen_p_lbs,total_ww_gen_k_lbs,total_ww_gen_salt_lbs,applied_n_dry_manure_lbs,applied_p_dry_manure_lbs,applied_k_dry_manure_lbs,applied_salt_dry_manure_lbs,applied_ww_gals,applied_ww_n_lbs,applied_ww_p_lbs,applied_ww_k_lbs,applied_ww_salt_lbs,applied_to_removed_ratio_n,applied_to_removed_ratio_p,applied_to_removed_ratio_k,applied_to_removed_ratio_salt,total_exports_n_lbs,total_exports_p_lbs,total_exports_k_lbs,total_exports_salt_lbs,filename,avg_milk_prod_kg_per_cow,avg_milk_prod_l_per_cow,reported_annual_milk_production_l,total_herd_size,total_applied_n_lbs,total_applied_p_lbs,total_applied_k_lbs,total_applied_salt_lbs,total_reported_n_lbs,total_reported_p_lbs,total_reported_k_lbs,total_reported_salt_lbs,unaccounted_for_n_lbs,unaccounted_for_p_lbs,unaccounted_for_k_lbs,unaccounted_for_salt_lbs,total_ww_gen_liters,wastewater_estimated,wastewater_to_reported,wastewater_to_estimated,wastewater_ratio_discrepancy,calculated_manure_factor,manure_factor_discrepancy,nitrogen_discrepancy,usda_nitrogen_pct_deviation,ucce_nitrogen_pct_deviation,usda_nitrogen_estimate_lbs,ucce_nitrogen_estimate_lbs,estimated_annual_milk_production_l,wastewater_estimated_l,wastewater_to_restimated,total_manure_gen_tons,total_manure_gen_s_lbs,city,region,sub_region,year,county,state,zip,latitude,longitude,consultant,template,manure_factor_avg,manure_factor_std,wastewater_ratio_avg,wastewater_ratio_std,usda_nitrogen_pct_dev_avg,usda_nitrogen_pct_dev_std,ucce_nitrogen_pct_dev_avg,ucce_nitrogen_pct_dev_std,facility_count,CADDID
,27125 Pond RD,2965.0,285.0,410.0,1440.0,1290.0,650.0,,,106854.62,0,0,0.0,0.0,0.0,0,0,0.0,0.0,301528.36,0,71226.34,29647.51,99427.63,1224093.3,293186.68,293186.68,50145.95,301528.36,2631141.14,0,0,0,0,,,,,2023AR_Avalon Dairy Farms_27125 Pond Rd_Kern.pdf,0.0,0.0,0.0,,364413.02,79793.45999999999,400955.99,3855234.4400000004,0.0,0.0,301528.36,0,,,,,0.0,0.0,,,,,,,,-100.0,,1264096.0137208002,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
T&W Farms 1,18346 OId River Rd BakersfieId Kern 93311,4271.0,700.0,1495.0,1225.0,447.0,427.0,,,148432.31,0,0,1862947.81,306202.53,817935.91,0,0,354507.59,340931514.3,561801.07,0,118011.29,32973.96,192416.96,0.0,354507.59,354507.59,340931514.3,561801.07,3075.3,0,0,0,0,,,,,2023AR_T&W Farms 1_18346 Old River Rd_Kern.pdf,0.0,0.0,0.0,,472518.88,340964488.26,754218.0299999999,3075.3,354507.59,341237716.83,1379736.98,0,,,,,0.0,0.0,,,,,,,,-100.0,,1843795.6193554797,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
West Star North Dairy,26953 Riverside ST ButtonwiIlow Kern 93206,4680.0,615.0,340.0,0.0,0.0,0.0,,,145028.29,0,0,0.0,0.0,0.0,0,0,0.0,0.0,524716.08,0,66567.83,24078.11,94768.76,0.0,466163.55,466163.55,64906.58,524716.08,4674260.94,0,0,0,0,,,,,2023AR_West Star North Dairy_26953 Riverside St_Kern.pdf,0.0,0.0,0.0,,532731.38,88984.69,619484.84,4674260.94,0.0,0.0,524716.08,0,,,,,0.0,0.0,,,,,,,,-100.0,,1645435.3011032,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
MapIe Dairy,15857 Bear Mountain BIvd BakersfieId Kern 93311,6194.0,1108.0,2459.0,2336.0,948.0,1187.0,,,232293.54,0,0,2919733.9,477077.0,1218763.81,0,0,173372.31,358365219.59,266453.44,0,418784.43,117620.04,475915.45,0.0,173372.31,173372.31,358365219.59,266453.44,0.0,0,0,0,0,,,,,2023AR_Maple Dairy_15857 Bear Mountain Blvd_Kern.pdf,0.0,0.0,0.0,,592156.74,358482839.63,742368.89,0.0,173372.31,358842296.59,1485217.25,0,,,,,0.0,0.0,,,,,,,,-100.0,,2828716.8143403,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Kootstra Dairy Farms,13628 Adobe RD BakersfieId Kern 93307,1250.0,225.0,208.0,0.0,0.0,0.0,,,36595.33,0,0,468518.37,77616.94,234459.03,0,0,1768.17,237.92,2288.6,0,0.0,0.0,0.0,0.0,1768.17,1768.17,237.92,2288.6,15917.75,0,0,0,0,,,,,2023AR_Koostra Dairy_13628 Adobe Rd_Kern.pdf,0.0,0.0,0.0,,1768.17,237.92,2288.6,15917.75,1768.17,77854.86,236747.63,0,,,,,0.0,0.0,,,,,,,,-100.0,,470944.26302783994,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Affentranger & Sons Dairy Farms Inc.,18107 Kratzmeyer Road BakersfieId Kern 93314-9481,1250.0,200.0,390.0,390.0,100.0,0.0,,,43399.04,0,0,534857.12,88678.44,239386.53,0,0,45368.94,8600.94,39987.42,0,0.0,0.0,0.0,0.0,45368.94,45368.94,8600.94,39987.42,695415.59,0,0,0,0,,,,,2023AR_Affentranger&Sons Dairy_18107 Kratzmeyer Ave_Kern.pdf,0.0,0.0,0.0,,45368.94,8600.94,39987.42,695415.59,45368.94,97279.38,279373.95,0,,,,,0.0,0.0,,,,,,,,-100.0,,530594.5376164,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Bear Mountain Dairy,4551 Bear Mountain BIvd BakersfieId Kern 93313,2548.0,623.0,898.0,988.0,392.0,374.0,,,94561.99,0,0,1186369.99,192735.09,487965.51,0,0,0.0,0.0,0.0,0,137618.36,45517.36,142111.89,2833.3,59700.73,59700.73,114531007.5,144444.05,349.53,0,0,0,0,,,,,2023AR_Bear Mountain Dairy_4551 Bear Mountain Blvd_Kern.pdf,0.0,0.0,0.0,,197319.09,114576524.86,286555.94,3182.83,0.0,192735.09,487965.51,0,,,,,0.0,0.0,,,,,,,,-100.0,,1200639.5156981999,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
_ Bidart 3,25820 StockdaIe HWY BakersfieId Kern 93314,1230.0,0.0,425.0,0.0,0.0,0.0,,,37550.25,0,0,0.0,0.0,0.0,0,0,0.0,0.0,187324.42,0,0.0,0.0,0.0,0.0,178458.44,178458.44,31050.28,187324.42,1729559.38,0,0,0,0,,,,,2023AR_Bidart Dairy 3_25820 Stockdale Hwy_Kern.pdf,0.0,0.0,0.0,,178458.44,31050.28,187324.42,1729559.38,0.0,0.0,187324.42,0,,,,,0.0,0.0,,,,,,,,-100.0,,420661.851379,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
CarIos Echeverria & Sons Dairy,20229 OId River RD BakersfieId Kern 93311,5025.0,760.0,1625.0,1360.0,600.0,775.0,,,177824.27,0,0,0.0,0.0,0.0,0,0,0.0,0.0,511606.64,0,549564.16,227864.32,861624.64,450264.0,247979.69,247979.69,48201.64,511606.64,3180491.19,0,0,0,0,,,,,2023AR_Carlos Echeverria & Sons Dairy_20229 Old River Rd_Kern.pdf,0.0,0.0,0.0,,797543.8500000001,276065.96,1373231.28,3630755.19,0.0,0.0,511606.64,0,,,,,0.0,0.0,,,,,,,,-100.0,,2138929.0641703,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Westwind Farms,1098.0,180.0,74.0,0.0,0.0,0.0,,,31568.81,0,0,408119.95,67866.7,210277.13,0,0,9399.4,21104814.05,9223.2,0,96950.12,30852.57,71654.3,2374.4,9399.4,9399.4,21104814.05,9223.2,19.28,0,0,0,0,,,,,2023AR_Westwind Farms_6221 Bear Mountain Blvd_Kern.pdf,0.0,0.0,0.0,,106349.51999999999,21135666.62,80877.5,2393.6800000000003,9399.4,21172680.75,219500.33000000002,0,,,,,0.0,0.0,,,,,,,,-100.0,,396246.32376952,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
