dairy_name,dairy_address,avg_milk_cows,avg_dry_cows,avg_bred_heifers,avg_heifers,avg_calves_4_6_mo,avg_calves_0_3_mo,avg_other,avg_steer,total_manure_excreted_tons,avg_milk_lb_per_cow_day,total_manure_gen_n_after_nh3_losses_lbs,total_manure_gen_n_lbs,total_manure_gen_p_lbs,total_manure_gen_k_lbs,total_manure_gen_salt_lbs,total_ww_gen_gals,total_ww_gen_n_lbs,total_ww_gen_p_lbs,total_ww_gen_k_lbs,total_ww_gen_salt_lbs,applied_n_dry_manure_lbs,applied_p_dry_manure_lbs,applied_k_dry_manure_lbs,applied_salt_dry_manure_lbs,applied_ww_gals,applied_ww_n_lbs,applied_ww_p_lbs,applied_ww_k_lbs,applied_ww_salt_lbs,applied_to_removed_ratio_n,applied_to_removed_ratio_p,applied_to_removed_ratio_k,applied_to_removed_ratio_salt,total_exports_n_lbs,total_exports_p_lbs,total_exports_k_lbs,total_exports_salt_lbs,filename,avg_milk_prod_kg_per_cow,avg_milk_prod_l_per_cow,reported_annual_milk_production_l,total_herd_size,total_applied_n_lbs,total_applied_p_lbs,total_applied_k_lbs,total_applied_salt_lbs,total_reported_n_lbs,total_reported_p_lbs,total_reported_k_lbs,total_reported_salt_lbs,unaccounted_for_n_lbs,unaccounted_for_p_lbs,unaccounted_for_k_lbs,unaccounted_for_salt_lbs,total_ww_gen_liters,wastewater_estimated,wastewater_to_reported,wastewater_to_estimated,wastewater_ratio_discrepancy,calculated_manure_factor,manure_factor_discrepancy,nitrogen_discrepancy,usda_nitrogen_pct_deviation,ucce_nitrogen_pct_deviation,usda_nitrogen_estimate_lbs,ucce_nitrogen_estimate_lbs,estimated_annual_milk_production_l,wastewater_estimated_l,wastewater_to_restimated,total_manure_gen_tons,total_manure_gen_s_lbs,city,region,sub_region,year,county,state,zip,latitude,longitude,template,manure_factor_avg,manure_factor_std,wastewater_ratio_avg,wastewater_ratio_std,usda_nitrogen_pct_dev_avg,usda_nitrogen_pct_dev_std,ucce_nitrogen_pct_dev_avg,ucce_nitrogen_pct_dev_std,facility_count,CADDID
,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,0,,,,,,,,,-2023AR.pdf,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,,,,,,R7,,2023,,,,,,generic_r7,,,,,,,,,,
,,0,0,0,0,0,0,0,0,24622.5,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,0,,,,,,,,,2023 MY Annual Report.pdf,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,,,,,,R7,,2023,,,,,,generic_r7,,,,,,,,,,
,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,0,,,,,,,,,Foster Feed Yard - Foster Yard.pdf,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,,,,,,R7,,2023,,,,,,generic_r7,,,,,,,,,,
,,0,0,0,0,0,0,0,0,59.0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,0,,,,,,,,,1.22.2024_Mesquite Cattle Feeders_LR.pdf,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,,,,,,R7,,2023,,,,,,generic_r7,,,,,,,,,,
,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,0,,,,,,,,,ANNUAL REPORT 2.14.24.pdf,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,,,,,,R7,,2023,,,,,,generic_r7,,,,,,,,,,
,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,0,,,,,,,,,Brandt Company 2023 Annual Report.pdf,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,,,,,,R7,,2023,,,,,,generic_r7,,,,,,,,,,
,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,0,,,,,,,,,Foster Feed Yard - Keystone Yard.pdf,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,,,,,,R7,,2023,,,,,,generic_r7,,,,,,,,,,
,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,0,,,,,,,,,2023 DC Annual Report.pdf,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,,,,,,R7,,2023,,,,,,generic_r7,,,,,,,,,,
,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,0,,,,,,,,,OWB Ranches Annual Report 2023.pdf,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,,,,,,R7,,2023,,,,,,generic_r7,,,,,,,,,,
,,0,0,0,0,0,0,0,0,2046.0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,0,,,,,,,,,2023 Reata Annual Report.pdf,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,,,,,,R7,,2023,,,,,,generic_r7,,,,,,,,,,
