region,template,parameter_name,page_number,min_page,x0,y0,x1,y1,find_by,page_search_text,row_search_text,separator,item_order,data_type,search_direction
5,general_order,Dairy Name,-1,0,NA,NA,NA,NA,text,NAME OF DAIRY OR BUSINESS OPERATING THE DAIRY,NAME OF DAIRY OR BUSINESS OPERATING THE DAIRY,NA,NA,text,right
5,general_order,Dairy Address,0,NA,50,124,800,137,exact_location,NA,NA,NA,NA,text,NA
5,general_order,Maximum Milk Cows,-1,1,NA,NA,NA,NA,text,HERD INFORMATION,Maximum number,space,0,numeric,right
5,general_order,Maximum Dry Cows,-1,1,NA,NA,NA,NA,text,HERD INFORMATION,Maximum number,space,1,numeric,right
5,general_order,Maximum Bred Heifers,-1,1,NA,NA,NA,NA,text,HERD INFORMATION,Maximum number,space,2,numeric,right
5,general_order,Maximum Heifers,-1,1,NA,NA,NA,NA,text,HERD INFORMATION,Maximum number,space,3,numeric,right
5,general_order,Maximum Calves (4-6 mo.),-1,1,NA,NA,NA,NA,text,HERD INFORMATION,Maximum number,space,4,numeric,right
5,general_order,Maximum Calves (0-3 mo.),-1,1,NA,NA,NA,NA,text,HERD INFORMATION,Maximum number,space,5,numeric,right
5,general_order,Average Milk Cows,-1,1,NA,NA,NA,NA,text,HERD INFORMATION,Average number,space,0,numeric,right
5,general_order,Average Dry Cows,1,1,NA,NA,NA,NA,text,HERD INFORMATION,Average number,space,1,numeric,right
5,general_order,Average Bred Heifers,1,1,NA,NA,NA,NA,text,HERD INFORMATION,Average number,space,2,numeric,right
5,general_order,Average Heifers,1,1,NA,NA,NA,NA,text,HERD INFORMATION,Average number,space,3,numeric,right
5,general_order,Average Calves (4-6 mo.),1,1,NA,NA,NA,NA,text,HERD INFORMATION,Average number,space,4,numeric,right
5,general_order,Average Calves (0-3 mo.),1,1,NA,NA,NA,NA,text,HERD INFORMATION,Average number,space,5,numeric,right
5,general_order,Total Manure Excreted (tons),1,NA,188,250,262,269,exact_location,NA,NA,NA,NA,numeric,NA
5,general_order,Average Milk Production (lb per cow per day),1,NA,147,215,238,230,exact_location,NA,NA,NA,NA,numeric,NA
5,general_order,Total Dry Manure Generated N After Ammonia Losses (lbs),1,NA,539,260,608,285,exact_location,NA,NA,NA,NA,numeric,NA
5,general_order,Total Dry Manure Generated N (lbs),1,NA,188,260,262,285,exact_location,NA,NA,NA,NA,numeric,NA
5,general_order,Total Dry Manure Generated P (lbs),1,NA,188,280,262,300,exact_location,NA,NA,NA,NA,numeric,NA
5,general_order,Total Dry Manure Generated K (lbs),1,NA,188,300,262,315,exact_location,NA,NA,NA,NA,numeric,NA
5,general_order,Total Dry Manure Generated Salt (lbs),1,NA,188,315,262,345,exact_location,NA,NA,NA,NA,numeric,NA
5,general_order,Total Process Wastewater Generated (gals),1,NA,182,350,247,370,exact_location,NA,NA,NA,NA,numeric,NA
5,general_order,Total Process Wastewater Generated N (lbs),1,NA,182,370,247,388,exact_location,NA,NA,NA,NA,numeric,NA
5,general_order,Total Process Wastewater Generated P (lbs),1,NA,182,385,247,402,exact_location,NA,NA,NA,NA,numeric,NA
5,general_order,Total Process Wastewater Generated K (lbs),1,NA,182,395,247,417,exact_location,NA,NA,NA,NA,numeric,NA
5,general_order,Total Process Wastewater Generated Salt (lbs),1,NA,182,412,247,435,exact_location,NA,NA,NA,NA,numeric,NA
